time,projectId,userId,acc_x,acc_y,acc_z,1d_signal,timestamp
1667900291.742,SCAI-SENSEI,sensei-103,0.807,-0.547,0.41,1.764,2022-11-08 09:38:11.742000103
1667900291.752,SCAI-SENSEI,sensei-103,0.691,-0.482,0.402,1.5750000000000002,2022-11-08 09:38:11.752000093
1667900291.762,SCAI-SENSEI,sensei-103,0.684,-0.42,0.408,1.512,2022-11-08 09:38:11.762000084
1667900291.772,SCAI-SENSEI,sensei-103,0.783,-0.328,0.354,1.4649999999999999,2022-11-08 09:38:11.772000074
1667900291.782,SCAI-SENSEI,sensei-103,0.76,-0.346,0.371,1.4769999999999999,2022-11-08 09:38:11.782000065
1667900291.792,SCAI-SENSEI,sensei-103,0.777,-0.273,0.326,1.3760000000000001,2022-11-08 09:38:11.792000055
1667900291.802,SCAI-SENSEI,sensei-103,0.701,-0.336,0.355,1.392,2022-11-08 09:38:11.802000046
1667900291.812,SCAI-SENSEI,sensei-103,0.668,-0.246,0.246,1.1600000000000001,2022-11-08 09:38:11.812000036
1667900291.822,SCAI-SENSEI,sensei-103,0.652,-0.123,0.182,0.9570000000000001,2022-11-08 09:38:11.822000027
1667900291.832,SCAI-SENSEI,sensei-103,0.65,-0.082,0.043,0.775,2022-11-08 09:38:11.832000017
1667900291.842,SCAI-SENSEI,sensei-103,0.762,-0.131,-0.012,0.905,2022-11-08 09:38:11.842000008
1667900291.852,SCAI-SENSEI,sensei-103,1.145,-0.42,0.512,2.077,2022-11-08 09:38:11.851999998
1667900291.862,SCAI-SENSEI,sensei-103,1.043,-0.549,0.328,1.9200000000000002,2022-11-08 09:38:11.861999989
1667900291.872,SCAI-SENSEI,sensei-103,1.047,-0.479,0.227,1.753,2022-11-08 09:38:11.871999979
1667900291.882,SCAI-SENSEI,sensei-103,0.977,-0.484,0.744,2.205,2022-11-08 09:38:11.881999969
1667900291.892,SCAI-SENSEI,sensei-103,1.119,-0.51,0.182,1.811,2022-11-08 09:38:11.891999960
1667900291.902,SCAI-SENSEI,sensei-103,0.994,-0.602,0.271,1.867,2022-11-08 09:38:11.901999950
1667900291.912,SCAI-SENSEI,sensei-103,0.959,-0.508,0.236,1.703,2022-11-08 09:38:11.911999941
1667900291.922,SCAI-SENSEI,sensei-103,0.861,-0.564,0.27,1.6949999999999998,2022-11-08 09:38:11.921999931
1667900291.932,SCAI-SENSEI,sensei-103,0.895,-0.455,0.234,1.584,2022-11-08 09:38:11.931999922
1667900291.942,SCAI-SENSEI,sensei-103,0.891,-0.506,0.342,1.739,2022-11-08 09:38:11.941999912
1667900291.952,SCAI-SENSEI,sensei-103,0.842,-0.426,0.248,1.516,2022-11-08 09:38:11.951999903
1667900291.962,SCAI-SENSEI,sensei-103,0.873,-0.375,0.17,1.418,2022-11-08 09:38:11.961999893
1667900291.972,SCAI-SENSEI,sensei-103,0.951,-0.355,0.148,1.454,2022-11-08 09:38:11.971999884
1667900291.982,SCAI-SENSEI,sensei-103,0.961,-0.434,0.238,1.633,2022-11-08 09:38:11.982000113
1667900291.992,SCAI-SENSEI,sensei-103,0.988,-0.453,0.164,1.605,2022-11-08 09:38:11.992000103
1667900292.002,SCAI-SENSEI,sensei-103,0.977,-0.482,0.229,1.6880000000000002,2022-11-08 09:38:12.002000093
1667900292.012,SCAI-SENSEI,sensei-103,0.947,-0.461,0.238,1.646,2022-11-08 09:38:12.012000084
1667900292.022,SCAI-SENSEI,sensei-103,0.9,-0.459,0.254,1.613,2022-11-08 09:38:12.022000074
1667900292.032,SCAI-SENSEI,sensei-103,0.91,-0.434,0.25,1.594,2022-11-08 09:38:12.032000065
1667900292.042,SCAI-SENSEI,sensei-103,0.906,-0.346,0.27,1.522,2022-11-08 09:38:12.042000055
1667900292.052,SCAI-SENSEI,sensei-103,0.895,-0.303,0.291,1.4889999999999999,2022-11-08 09:38:12.052000046
1667900292.062,SCAI-SENSEI,sensei-103,0.916,-0.338,0.271,1.525,2022-11-08 09:38:12.062000036
1667900292.072,SCAI-SENSEI,sensei-103,0.896,-0.352,0.277,1.525,2022-11-08 09:38:12.072000027
1667900292.082,SCAI-SENSEI,sensei-103,0.902,-0.381,0.273,1.556,2022-11-08 09:38:12.082000017
1667900292.092,SCAI-SENSEI,sensei-103,0.898,-0.396,0.252,1.546,2022-11-08 09:38:12.092000008
1667900292.102,SCAI-SENSEI,sensei-103,0.908,-0.443,0.303,1.654,2022-11-08 09:38:12.101999998
1667900292.112,SCAI-SENSEI,sensei-103,0.896,-0.492,0.367,1.755,2022-11-08 09:38:12.111999989
1667900292.122,SCAI-SENSEI,sensei-103,0.898,-0.467,0.344,1.709,2022-11-08 09:38:12.121999979
1667900292.132,SCAI-SENSEI,sensei-103,0.844,-0.549,0.391,1.784,2022-11-08 09:38:12.131999969
1667900292.142,SCAI-SENSEI,sensei-103,0.859,-0.463,0.334,1.6560000000000001,2022-11-08 09:38:12.141999960
1667900292.152,SCAI-SENSEI,sensei-103,0.896,-0.342,0.285,1.523,2022-11-08 09:38:12.151999950
1667900292.162,SCAI-SENSEI,sensei-103,0.848,-0.43,0.338,1.616,2022-11-08 09:38:12.161999941
1667900292.172,SCAI-SENSEI,sensei-103,0.838,-0.396,0.322,1.556,2022-11-08 09:38:12.171999931
1667900292.182,SCAI-SENSEI,sensei-103,0.822,-0.398,0.338,1.558,2022-11-08 09:38:12.181999922
1667900292.192,SCAI-SENSEI,sensei-103,0.838,-0.434,0.318,1.59,2022-11-08 09:38:12.191999912
1667900292.202,SCAI-SENSEI,sensei-103,0.85,-0.469,0.293,1.6119999999999999,2022-11-08 09:38:12.201999903
1667900292.212,SCAI-SENSEI,sensei-103,0.887,-0.418,0.328,1.633,2022-11-08 09:38:12.211999893
1667900292.222,SCAI-SENSEI,sensei-103,0.891,-0.426,0.293,1.6099999999999999,2022-11-08 09:38:12.221999884
1667900292.232,SCAI-SENSEI,sensei-103,0.887,-0.418,0.309,1.6139999999999999,2022-11-08 09:38:12.232000113
1667900292.242,SCAI-SENSEI,sensei-103,0.871,-0.436,0.293,1.5999999999999999,2022-11-08 09:38:12.242000103
1667900292.252,SCAI-SENSEI,sensei-103,0.887,-0.404,0.295,1.5859999999999999,2022-11-08 09:38:12.252000092
1667900292.262,SCAI-SENSEI,sensei-103,0.889,-0.4,0.283,1.572,2022-11-08 09:38:12.262000084
1667900292.272,SCAI-SENSEI,sensei-103,0.877,-0.396,0.283,1.556,2022-11-08 09:38:12.272000074
1667900292.282,SCAI-SENSEI,sensei-103,0.877,-0.389,0.299,1.565,2022-11-08 09:38:12.282000065
1667900292.292,SCAI-SENSEI,sensei-103,0.893,-0.391,0.309,1.593,2022-11-08 09:38:12.292000055
1667900292.302,SCAI-SENSEI,sensei-103,0.902,-0.383,0.285,1.57,2022-11-08 09:38:12.302000046
